city,timestamp,pm25_predicted,pm25_lower,pm25_upper,alert_level
Peshawar,2026-06-03 21:00:00,66.3,23.2,203.3,YELLOW
Peshawar,2026-06-03 22:00:00,54.1,18.9,187.3,YELLOW
Peshawar,2026-06-03 23:00:00,41.6,14.5,167.3,GREEN
Peshawar,2026-06-04 00:00:00,28.7,10.0,154.7,GREEN
Peshawar,2026-06-04 01:00:00,20.9,7.3,150.5,GREEN
Peshawar,2026-06-04 02:00:00,25.1,8.8,160.1,GREEN
Peshawar,2026-06-04 03:00:00,41.1,14.4,178.0,GREEN
Peshawar,2026-06-04 04:00:00,58.6,20.5,191.0,YELLOW
Peshawar,2026-06-04 05:00:00,63.2,22.1,192.3,YELLOW
Peshawar,2026-06-04 06:00:00,47.6,16.7,179.2,GREEN
Peshawar,2026-06-04 07:00:00,18.3,6.4,155.3,GREEN
Peshawar,2026-06-04 08:00:00,0.0,0.0,138.0,GREEN
Peshawar,2026-06-04 09:00:00,0.0,0.0,130.8,GREEN
Peshawar,2026-06-04 10:00:00,0.0,0.0,128.4,GREEN
Peshawar,2026-06-04 11:00:00,0.0,0.0,131.5,GREEN
Peshawar,2026-06-04 12:00:00,15.1,5.3,151.5,GREEN
Peshawar,2026-06-04 13:00:00,28.1,9.8,157.6,GREEN
Peshawar,2026-06-04 14:00:00,43.4,15.2,171.3,GREEN
Peshawar,2026-06-04 15:00:00,64.4,22.5,198.8,YELLOW
Quetta,2026-06-03 16:00:00,25.3,8.9,53.3,GREEN
Quetta,2026-06-03 17:00:00,29.9,0.4,59.3,GREEN
Quetta,2026-06-03 18:00:00,31.2,2.6,59.8,GREEN
Quetta,2026-06-03 19:00:00,29.8,0.7,58.9,GREEN
Quetta,2026-06-03 20:00:00,28.1,0.4,55.8,GREEN
Quetta,2026-06-03 21:00:00,27.5,9.6,55.6,GREEN
Quetta,2026-06-03 22:00:00,27.6,0.2,54.9,GREEN
Quetta,2026-06-03 23:00:00,27.0,9.4,54.8,GREEN
Quetta,2026-06-04 00:00:00,25.8,9.0,53.8,GREEN
Quetta,2026-06-04 01:00:00,26.1,9.1,54.6,GREEN
Quetta,2026-06-04 02:00:00,30.0,1.9,58.0,GREEN
Quetta,2026-06-04 03:00:00,36.8,8.5,65.0,GREEN
Quetta,2026-06-04 04:00:00,42.5,12.6,72.4,GREEN
Quetta,2026-06-04 05:00:00,42.3,15.2,69.5,GREEN
Quetta,2026-06-04 06:00:00,34.8,6.3,63.2,GREEN
Quetta,2026-06-04 07:00:00,22.9,8.0,52.5,GREEN
Quetta,2026-06-04 08:00:00,12.4,4.3,40.5,GREEN
Quetta,2026-06-04 09:00:00,7.3,2.6,35.9,GREEN
Quetta,2026-06-04 10:00:00,7.4,2.6,36.0,GREEN
Quetta,2026-06-04 11:00:00,9.4,3.3,38.7,GREEN
Quetta,2026-06-04 12:00:00,10.4,3.7,39.4,GREEN
Quetta,2026-06-04 13:00:00,10.6,3.7,39.4,GREEN
Quetta,2026-06-04 14:00:00,12.0,4.2,42.6,GREEN
Quetta,2026-06-04 15:00:00,16.2,5.7,45.1,GREEN
