alert_type,city,forecast_timestamp,hours_ahead,pm25_predicted,pm25_upper,aqi_level,alert_level,affected_groups,protective_actions,alert_text_en,alert_text_ur
forecast,Islamabad,2026-06-03 16:00,0,107.4,202.7,Unhealthy,ORANGE,"Children, elderly, respiratory patients",Limit outdoor activity; keep windows closed,"⚠ Forecast Alert — Islamabad. PM2.5 is predicted to reach 107 µg/m³ at 2026-06-03 16:00 (approximately 0 hour(s) from now), entering Unhealthy levels. Children, elderly residents, and people with respiratory conditions should prepare to limit outdoor activity and keep windows closed.",⚠ پیشگوئی الرٹ — Islamabad۔ PM2.5 کی سطح 2026-06-03 16:00 پر 107 µg/m³ تک پہنچنے کی توقع ہے (ابھی سے تقریباً 0 گھنٹے بعد)، جو غیر صحت بخش حد میں ہوگی۔ بچے، بزرگ اور سانس کے مریض باہر جانے کی سرگرمیاں کم کرنے کی تیاری کریں اور کھڑکیاں بند رکھیں۔
forecast,Lahore,2026-06-03 16:00,0,144.6,324.3,Unhealthy,ORANGE,"Children, elderly, respiratory patients",Limit outdoor activity; keep windows closed,"⚠ Forecast Alert — Lahore. PM2.5 is predicted to reach 145 µg/m³ at 2026-06-03 16:00 (approximately 0 hour(s) from now), entering Unhealthy levels. Children, elderly residents, and people with respiratory conditions should prepare to limit outdoor activity and keep windows closed.",⚠ پیشگوئی الرٹ — Lahore۔ PM2.5 کی سطح 2026-06-03 16:00 پر 145 µg/m³ تک پہنچنے کی توقع ہے (ابھی سے تقریباً 0 گھنٹے بعد)، جو غیر صحت بخش حد میں ہوگی۔ بچے، بزرگ اور سانس کے مریض باہر جانے کی سرگرمیاں کم کرنے کی تیاری کریں اور کھڑکیاں بند رکھیں۔
forecast,Lahore,2026-06-04 03:00,11,105.3,283.4,Unhealthy,ORANGE,"Children, elderly, respiratory patients",Limit outdoor activity; keep windows closed,"⚠ Forecast Alert — Lahore. PM2.5 is predicted to reach 105 µg/m³ at 2026-06-04 03:00 (approximately 11 hour(s) from now), entering Unhealthy levels. Children, elderly residents, and people with respiratory conditions should prepare to limit outdoor activity and keep windows closed.",⚠ پیشگوئی الرٹ — Lahore۔ PM2.5 کی سطح 2026-06-04 03:00 پر 105 µg/m³ تک پہنچنے کی توقع ہے (ابھی سے تقریباً 11 گھنٹے بعد)، جو غیر صحت بخش حد میں ہوگی۔ بچے، بزرگ اور سانس کے مریض باہر جانے کی سرگرمیاں کم کرنے کی تیاری کریں اور کھڑکیاں بند رکھیں۔
forecast,Lahore,2026-06-04 15:00,23,127.7,299.0,Unhealthy,ORANGE,"Children, elderly, respiratory patients",Limit outdoor activity; keep windows closed,"⚠ Forecast Alert — Lahore. PM2.5 is predicted to reach 128 µg/m³ at 2026-06-04 15:00 (approximately 23 hour(s) from now), entering Unhealthy levels. Children, elderly residents, and people with respiratory conditions should prepare to limit outdoor activity and keep windows closed.",⚠ پیشگوئی الرٹ — Lahore۔ PM2.5 کی سطح 2026-06-04 15:00 پر 128 µg/m³ تک پہنچنے کی توقع ہے (ابھی سے تقریباً 23 گھنٹے بعد)، جو غیر صحت بخش حد میں ہوگی۔ بچے، بزرگ اور سانس کے مریض باہر جانے کی سرگرمیاں کم کرنے کی تیاری کریں اور کھڑکیاں بند رکھیں۔
forecast,Peshawar,2026-06-03 17:00,1,102.3,238.1,Unhealthy,ORANGE,"Children, elderly, respiratory patients",Limit outdoor activity; keep windows closed,"⚠ Forecast Alert — Peshawar. PM2.5 is predicted to reach 102 µg/m³ at 2026-06-03 17:00 (approximately 1 hour(s) from now), entering Unhealthy levels. Children, elderly residents, and people with respiratory conditions should prepare to limit outdoor activity and keep windows closed.",⚠ پیشگوئی الرٹ — Peshawar۔ PM2.5 کی سطح 2026-06-03 17:00 پر 102 µg/m³ تک پہنچنے کی توقع ہے (ابھی سے تقریباً 1 گھنٹے بعد)، جو غیر صحت بخش حد میں ہوگی۔ بچے، بزرگ اور سانس کے مریض باہر جانے کی سرگرمیاں کم کرنے کی تیاری کریں اور کھڑکیاں بند رکھیں۔
